data,mes,irradiancia_kwh_m2,temperatura_c
2023-03-27,3,3.20,20.82
2023-03-28,3,3.65,20.72
2023-03-29,3,4.57,21.72
2023-03-30,3,5.55,22.29
2023-03-31,3,3.87,21.95
2023-04-01,4,5.88,21.58
2023-04-02,4,4.08,18.64
2023-04-03,4,5.70,19.70
2023-04-04,4,5.50,20.43
2023-04-05,4,5.05,19.78
2023-04-06,4,4.36,19.70
2023-04-07,4,1.53,19.42
2023-04-08,4,2.59,19.88
2023-04-09,4,2.77,18.22
2023-04-10,4,6.06,18.09
2023-04-11,4,5.14,18.93
2023-04-12,4,4.38,20.44
2023-04-13,4,5.06,21.06
2023-04-14,4,2.70,20.77
2023-04-15,4,2.93,20.48
2023-04-16,4,5.21,20.51
2023-04-17,4,4.63,20.38
2023-04-18,4,1.89,21.79
2023-04-19,4,5.15,17.59
2023-04-20,4,5.21,14.93
2023-04-21,4,5.47,14.69
2023-04-22,4,5.27,17.12
2023-04-23,4,4.98,18.22
2023-04-24,4,5.48,17.62
2023-04-25,4,4.82,17.72
2023-04-26,4,1.95,19.26
2023-04-27,4,3.28,18.91
2023-04-28,4,1.58,17.24
2023-04-29,4,3.32,18.02
2023-04-30,4,4.32,18.87
2023-05-01,5,4.14,19.07
2023-05-02,5,4.20,19.29
2023-05-03,5,4.27,19.77
2023-05-04,5,4.78,20.06
2023-05-05,5,4.60,20.69
2023-05-06,5,3.68,20.87
2023-05-07,5,4.48,19.45
2023-05-08,5,4.48,20.13
2023-05-09,5,3.24,19.67
2023-05-10,5,2.12,18.85
2023-05-11,5,4.14,17.50
2023-05-12,5,3.31,14.69
2023-05-13,5,3.79,14.62
2023-05-14,5,4.71,14.71
2023-05-15,5,4.75,15.13
2023-05-16,5,4.93,14.87
2023-05-17,5,4.09,14.26
2023-05-18,5,4.43,13.52
2023-05-19,5,4.81,14.02
2023-05-20,5,4.81,15.25
2023-05-21,5,4.26,15.98
2023-05-22,5,3.63,16.42
2023-05-23,5,4.32,16.98
2023-05-24,5,4.21,17.03
2023-05-25,5,4.21,17.66
2023-05-26,5,4.41,17.71
2023-05-27,5,4.21,18.50
2023-05-28,5,1.85,17.74
2023-05-29,5,2.21,16.00
2023-05-30,5,1.97,15.63
2023-05-31,5,0.75,15.95
2023-06-01,6,2.78,16.32
2023-06-02,6,3.74,15.61
2023-06-03,6,4.44,16.38
2023-06-04,6,4.48,16.44
2023-06-05,6,4.21,16.07
2023-06-06,6,4.27,15.42
2023-06-07,6,4.25,15.66
2023-06-08,6,4.20,15.74
2023-06-09,6,4.35,15.95
2023-06-10,6,4.45,16.07
2023-06-11,6,4.21,16.80
2023-06-12,6,3.77,18.08
2023-06-13,6,1.14,15.58
2023-06-14,6,1.02,15.86
2023-06-15,6,0.77,15.85
2023-06-16,6,2.24,12.23
2023-06-17,6,3.51,10.80
2023-06-18,6,3.50,12.45
2023-06-19,6,3.80,13.62
2023-06-20,6,4.19,14.41
2023-06-21,6,4.27,14.69
2023-06-22,6,3.94,15.49
2023-06-23,6,3.51,16.09
2023-06-24,6,4.19,16.92
2023-06-25,6,4.29,17.12
2023-06-26,6,4.37,18.42
2023-06-27,6,4.37,16.33
2023-06-28,6,4.28,16.18
2023-06-29,6,3.02,15.78
2023-06-30,6,3.04,15.94
2023-07-01,7,3.47,16.31
2023-07-02,7,3.95,15.63
2023-07-03,7,3.14,14.33
2023-07-04,7,4.46,12.83
2023-07-05,7,4.39,14.00
2023-07-06,7,4.40,14.30
2023-07-07,7,4.35,15.21
2023-07-08,7,3.61,16.55
2023-07-09,7,1.43,16.32
2023-07-10,7,2.07,17.32
2023-07-11,7,3.14,19.04
2023-07-12,7,3.97,19.15
2023-07-13,7,4.37,17.78
2023-07-14,7,4.40,11.66
2023-07-15,7,4.58,13.12
2023-07-16,7,3.54,14.53
2023-07-17,7,3.39,16.74
2023-07-18,7,1.42,15.06
2023-07-19,7,1.65,14.67
2023-07-20,7,3.46,16.06
2023-07-21,7,4.25,16.70
2023-07-22,7,4.11,16.61
2023-07-23,7,4.19,17.34
2023-07-24,7,4.34,17.55
2023-07-25,7,3.72,17.87
2023-07-26,7,4.40,18.88
2023-07-27,7,3.68,18.84
2023-07-28,7,3.75,19.28
2023-07-29,7,2.15,14.89
2023-07-30,7,3.20,15.26
2023-07-31,7,4.31,16.52
2023-08-01,8,3.97,17.13
2023-08-02,8,4.93,18.49
2023-08-03,8,5.06,18.21
2023-08-04,8,4.89,16.70
2023-08-05,8,5.11,18.64
2023-08-06,8,5.09,19.20
2023-08-07,8,5.07,20.37
2023-08-08,8,2.12,16.75
2023-08-09,8,3.43,19.10
2023-08-10,8,3.86,20.48
2023-08-11,8,4.66,21.86
2023-08-12,8,3.29,21.99
2023-08-13,8,1.81,15.41
2023-08-14,8,2.27,17.34
2023-08-15,8,3.39,19.34
2023-08-16,8,3.83,19.97
2023-08-17,8,4.71,20.99
2023-08-18,8,5.12,21.42
2023-08-19,8,3.72,19.71
2023-08-20,8,3.81,19.14
2023-08-21,8,4.86,19.64
2023-08-22,8,5.72,20.88
2023-08-23,8,5.11,23.45
2023-08-24,8,4.18,24.48
2023-08-25,8,2.59,19.18
2023-08-26,8,1.49,14.13
2023-08-27,8,0.98,12.27
2023-08-28,8,1.95,13.25
2023-08-29,8,3.54,15.74
2023-08-30,8,5.00,17.72
2023-08-31,8,5.10,17.71
2023-09-01,9,5.05,18.50
2023-09-02,9,4.82,19.20
2023-09-03,9,4.98,23.04
2023-09-04,9,4.63,25.05
2023-09-05,9,2.30,20.85
2023-09-06,9,3.16,16.36
2023-09-07,9,5.15,19.05
2023-09-08,9,6.02,22.12
2023-09-09,9,3.48,22.06
2023-09-10,9,3.80,21.14
2023-09-11,9,6.12,22.48
2023-09-12,9,6.51,23.04
2023-09-13,9,6.40,24.84
2023-09-14,9,1.30,20.33
2023-09-15,9,4.64,16.32
2023-09-16,9,6.44,20.37
2023-09-17,9,6.55,23.91
2023-09-18,9,5.94,24.98
2023-09-19,9,6.00,25.00
2023-09-20,9,5.33,22.95
2023-09-21,9,5.56,23.30
2023-09-22,9,6.32,25.78
2023-09-23,9,6.35,25.51
2023-09-24,9,6.72,27.92
2023-09-25,9,5.03,24.56
2023-09-26,9,5.36,27.10
2023-09-27,9,3.83,26.55
2023-09-28,9,1.62,16.62
2023-09-29,9,3.65,19.24
2023-09-30,9,4.55,21.25
2023-10-01,10,1.44,20.47
2023-10-02,10,1.86,20.18
2023-10-03,10,4.15,21.15
2023-10-04,10,2.97,24.46
2023-10-05,10,3.78,23.17
2023-10-06,10,5.30,23.38
2023-10-07,10,3.67,25.33
2023-10-08,10,2.72,22.06
2023-10-09,10,3.41,20.08
2023-10-10,10,4.99,19.25
2023-10-11,10,7.47,22.51
2023-10-12,10,2.35,22.85
2023-10-13,10,2.28,17.49
2023-10-14,10,1.90,17.36
2023-10-15,10,4.65,20.10
2023-10-16,10,6.14,23.39
2023-10-17,10,2.62,23.09
2023-10-18,10,3.41,19.97
2023-10-19,10,2.93,18.61
2023-10-20,10,2.40,18.60
2023-10-21,10,4.05,18.82
2023-10-22,10,6.22,20.08
2023-10-23,10,7.12,23.07
2023-10-24,10,5.67,25.67
2023-10-25,10,2.93,21.75
2023-10-26,10,2.92,20.96
2023-10-27,10,4.13,20.98
2023-10-28,10,4.38,24.35
2023-10-29,10,2.71,22.99
2023-10-30,10,5.25,25.11
2023-10-31,10,3.28,23.76
2023-11-01,11,3.55,20.66
2023-11-02,11,4.36,20.89
2023-11-03,11,4.83,24.62
2023-11-04,11,6.91,21.76
2023-11-05,11,7.74,18.07
2023-11-06,11,8.34,17.35
2023-11-07,11,7.81,19.37
2023-11-08,11,8.37,22.99
2023-11-09,11,6.67,25.07
2023-11-10,11,6.13,23.91
2023-11-11,11,7.77,27.21
2023-11-12,11,7.66,28.45
2023-11-13,11,7.43,29.04
2023-11-14,11,6.76,28.19
2023-11-15,11,7.40,28.10
2023-11-16,11,5.40,28.23
2023-11-17,11,6.01,29.64
2023-11-18,11,6.40,29.43
2023-11-19,11,2.17,23.72
2023-11-20,11,3.88,20.45
2023-11-21,11,5.71,23.77
2023-11-22,11,6.46,24.27
2023-11-23,11,3.80,23.74
2023-11-24,11,2.57,19.40
2023-11-25,11,3.12,16.16
2023-11-26,11,3.85,20.01
2023-11-27,11,4.10,21.78
2023-11-28,11,4.08,23.03
2023-11-29,11,4.49,23.59
2023-11-30,11,7.20,24.69
2023-12-01,12,6.73,24.79
2023-12-02,12,7.99,25.39
2023-12-03,12,7.75,26.79
2023-12-04,12,6.90,25.65
2023-12-05,12,5.19,24.37
2023-12-06,12,6.53,26.10
2023-12-07,12,7.29,27.46
2023-12-08,12,6.06,24.73
2023-12-09,12,3.70,20.73
2023-12-10,12,5.60,21.16
2023-12-11,12,5.04,22.56
2023-12-12,12,5.97,21.68
2023-12-13,12,6.99,23.37
2023-12-14,12,7.71,25.27
2023-12-15,12,7.41,26.60
2023-12-16,12,6.43,26.58
2023-12-17,12,6.06,26.27
2023-12-18,12,8.35,25.36
2023-12-19,12,7.50,24.27
2023-12-20,12,7.47,23.21
2023-12-21,12,6.50,24.41
2023-12-22,12,6.31,26.13
2023-12-23,12,6.13,25.13
2023-12-24,12,6.60,25.74
2023-12-25,12,7.44,27.37
2023-12-26,12,4.24,24.76
2023-12-27,12,6.93,21.84
2023-12-28,12,8.14,24.41
2023-12-29,12,7.29,27.97
2023-12-30,12,2.95,22.98
2023-12-31,12,4.90,21.28
